Time (ms), SequenceNumber, TestData, 
96114, 166, 829059, 96114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96127, 177, 829281, 96127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96186, 178, 829301, 96186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96187, 179, 829321, 96187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96188, 180, 829341, 96188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96189, 181, 829361, 96189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96191, 182, 829381, 96191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96192, 183, 829401, 96192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96193, 184, 829420, 96193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96194, 185, 829441, 96194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
161650, 166, 829059, 96114, 96226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
